2017-10-10 14:01:46 INFO  HelloCity:20 - The errorMap was created.
2017-10-10 14:01:46 INFO  HelloCity:23 - Validation is successful - the error map is empty.
2017-10-10 14:01:46 INFO  HelloCity:25 - HelloCityService object was created.
2017-10-10 14:01:46 INFO  HelloCity:27 - The final message was displayed.
2017-10-10 14:08:52 INFO  HelloCity:18 - The argument's validator is created.
2017-10-10 14:08:52 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 14:08:52 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 14:08:52 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 14:08:52 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 14:08:52 INFO  HelloCity:20 - The errorMap was created.
2017-10-10 14:08:52 INFO  HelloCity:23 - Validation is successful - the error map is empty.
2017-10-10 14:08:52 INFO  HelloCity:25 - HelloCityService object was created.
2017-10-10 14:08:52 INFO  HelloCity:27 - The final message was displayed.
2017-10-10 16:44:32 INFO  HelloCity:18 - The argument's validator is created.
2017-10-10 16:44:32 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 16:44:32 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 16:44:32 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 16:44:32 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 16:44:32 INFO  HelloCity:20 - The errorMap was created.
2017-10-10 16:44:32 INFO  HelloCity:23 - Validation is successful - the error map is empty.
2017-10-10 16:44:32 INFO  HelloCity:25 - HelloCityService object was created.
2017-10-10 16:44:32 INFO  HelloCity:27 - The final message was displayed.
2017-10-10 16:48:35 INFO  HelloCity:18 - The argument's validator is created.
2017-10-10 16:48:35 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 16:48:35 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 16:48:35 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 16:48:35 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 16:48:35 INFO  HelloCity:20 - The errorMap was created.
2017-10-10 16:48:35 INFO  HelloCity:23 - Validation is successful - the error map is empty.
2017-10-10 16:48:35 INFO  HelloCity:25 - HelloCityService object was created.
2017-10-10 16:48:35 INFO  HelloCity:27 - The final message was displayed.
2017-10-10 16:48:57 INFO  HelloCity:18 - The argument's validator is created.
2017-10-10 16:48:57 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 16:48:57 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 16:48:57 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 16:48:57 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 16:48:57 INFO  HelloCity:20 - The errorMap was created.
2017-10-10 16:48:57 INFO  HelloCity:23 - Validation is successful - the error map is empty.
2017-10-10 16:48:57 INFO  HelloCity:25 - HelloCityService object was created.
2017-10-10 16:48:57 INFO  HelloCity:27 - The final message was displayed.
2017-10-10 17:28:33 INFO  HelloCity:18 - The argument's validator is created.
2017-10-10 17:28:33 INFO  ParameterValidatorImpl:70 - The length arguments were validated. Errors = 0
2017-10-10 17:28:33 INFO  ParameterValidatorImpl:24 - Length arguments successfully validated.
2017-10-10 17:28:33 INFO  ParameterValidatorImpl:48 - The arguments are checked for compliance with the regular expression. Errors = 0
2017-10-10 17:28:33 INFO  ParameterValidatorImpl:27 - The errorMap was returned.
2017-10-10 17:28:33 INFO  HelloCity:20 - The errorMap was created.
